result	id	features	stage	detail
PASS	atomics/ops/in-expression	sync,atomics,ints	-	wide=0 exhausted=none depth=fixed
PASS	atomics/ops/operand-order	sync,atomics,ints,closures,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	atomics/ops/defined-underlying	sync,atomics,ints,defined_type,pointers	-	wide=0 exhausted=none depth=fixed
PASS	atomics/ops/nil-address	sync,atomics,ints,nil,panic	-	wide=0 exhausted=none depth=fixed
PASS	atomics/ops/nil-address-recovered	sync,atomics,ints,nil,panic,recover,defer,closures	-	wide=0 exhausted=none depth=fixed
PASS	atomics/spin/flag-wait	sync,atomics,ints,goroutines,channels,loops,closures,race,nondet	membership	enumerated=1 exhibited=1 draws=2 (floor; K=80; stopped at the members=1 pin after the two-draw floor — one plain + one -race) unexhibited=0 (members in artifacts/coverage/membership/atomics/spin/flag-wait)
PASS	atomics/typed/int64	sync,atomics,ints,methods	-	wide=0 exhausted=none depth=fixed
PASS	atomics/typed/int32-wrap	sync,atomics,ints,methods,overflow	-	wide=0 exhausted=none depth=fixed
PASS	atomics/typed/uint32	sync,atomics,ints,methods,overflow	-	wide=0 exhausted=none depth=fixed
PASS	atomics/typed/uint64	sync,atomics,ints,methods	-	wide=0 exhausted=none depth=fixed
PASS	atomics/typed/uintptr	sync,atomics,ints,methods	-	wide=0 exhausted=none depth=fixed
PASS	atomics/typed/zero-and-copy	sync,atomics,ints,methods,structs	-	wide=0 exhausted=none depth=fixed
PASS	atomics/typed/empty-literal	sync,atomics,ints,methods,structs,pointers	-	wide=0 exhausted=none depth=fixed
PASS	atomics/typed/struct-field	sync,atomics,ints,methods,structs,pointers	-	wide=0 exhausted=none depth=fixed
PASS	atomics/typed/nil-receiver	sync,atomics,ints,methods,nil,panic	-	wide=0 exhausted=none depth=fixed
PASS	binary/little-endian/roundtrip	stdlib,bytes,slices,bitwise	-	wide=0 exhausted=none depth=fixed
PASS	binary/little-endian/golden	stdlib,bytes,slices,bitwise	-	wide=0 exhausted=none depth=fixed
PASS	binary/little-endian/heartbeat-ctx-shape	stdlib,bytes,slices,bitwise	-	wide=0 exhausted=none depth=fixed
PASS	binary/little-endian/short-read	stdlib,bytes,slices,panic	-	wide=0 exhausted=none depth=fixed
PASS	binop-order/operand-panic-vs-call/left-first	indexing,division,panic,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	binop-order/operand-panic-vs-call/call-before-left	indexing,calls,closures,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	binop-order/operand-panic-vs-call/call-before-left-div	indexing,calls,closures,division,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	bools/generic-type-set/not-defined	bools,generics,type_sets,typed	-	wide=0 exhausted=none depth=fixed
PASS	bools/generic-type-set/and-or	bools,generics,type_sets	-	wide=0 exhausted=none depth=fixed
PASS	bools/generic-type-set/equality	bools,generics,type_sets,equality	-	wide=0 exhausted=none depth=fixed
PASS	bools/generic-type-set/inference	bools,generics,type_sets,inference	-	wide=0 exhausted=none depth=fixed
PASS	bools/generic-type-set/zero-value	bools,generics,type_sets,zero_values	-	wide=0 exhausted=none depth=fixed
PASS	bools/left-to-right	bools,evaluation_order,calls	-	wide=0 exhausted=none depth=fixed
PASS	bools/logical-ops	bools,comparisons	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-and	bools,evaluation_order,calls	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-call-operand	bools,calls,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-effects/count-both	bools,calls,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-effects/count-left-false	bools,calls,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-effects/count-right-false	bools,calls,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-effects/count-left-decides	bools,calls,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-effects/order-left-true	bools,calls,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-effects/order-right-true	bools,calls,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-effects/order-both-false	bools,calls,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-effects/nested-outer-false	bools,calls,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-effects/nested-inner-left	bools,calls,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-effects/nested-inner-right	bools,calls,evaluation_order	-	wide=0 exhausted=none depth=fixed
