result	id	features	stage	detail
PASS	control-flow/continue-outside	control_flow,continue,compile_error	-	-
PASS	control-flow/continue-switch-label	control_flow,continue,labels,switch,compile_error	-	-
PASS	control-flow/duplicate-label	control_flow,labels,compile_error	-	-
PASS	control-flow/duplicate-switch-case	control_flow,switch,cases,compile_error	-	-
PASS	control-flow/duplicate-type-switch-case	control_flow,switch,type_switch,compile_error	-	-
PASS	control-flow/expressionless-switch-case-non-bool	control_flow,switch,cases,bools,compile_error	-	-
PASS	control-flow/fallthrough-final	control_flow,switch,fallthrough,compile_error	-	-
PASS	control-flow/fallthrough-not-final	control_flow,switch,fallthrough,compile_error	-	-
PASS	control-flow/fallthrough-outside-switch	control_flow,switch,fallthrough,compile_error	-	-
PASS	control-flow/fallthrough-type-switch	control_flow,switch,type_switch,fallthrough,compile_error	-	-
PASS	control-flow/for-condition-non-bool	control_flow,loops,compile_error	-	-
PASS	control-flow/goto-into-block	control_flow,goto,labels,scoping,compile_error	-	-
PASS	control-flow/goto-into-for-body	control_flow,goto,labels,loops,compile_error	-	-
PASS	control-flow/goto-into-select-case	control_flow,goto,labels,select,channels,compile_error	-	-
PASS	control-flow/goto-over-declaration	control_flow,goto,labels,scoping,compile_error	-	-
PASS	control-flow/goto-over-var-decl-block	control_flow,goto,labels,scoping,compile_error	-	-
PASS	control-flow/goto-undefined-label	control_flow,goto,labels,compile_error	-	-
PASS	control-flow/invalid-break-label	control_flow,break,labels,compile_error	-	-
PASS	control-flow/invalid-continue-label	control_flow,continue,labels,compile_error	-	-
PASS	control-flow/multiple-defaults	control_flow,switch,default,compile_error	-	-
PASS	control-flow/nested-duplicate-label	control_flow,labels,compile_error	-	-
PASS	control-flow/switch-mismatched-case-type	control_flow,switch,compile_error	-	-
PASS	control-flow/switch-uncomparable-case	control_flow,switch,comparability,slices,compile_error	-	-
PASS	control-flow/type-switch-non-interface	control_flow,switch,type_switch,compile_error	-	-
PASS	control-flow/unused-label	control_flow,labels,unused,compile_error	-	-
PASS	defer/defer-append-result	defer,append,compile_error	-	-
PASS	defer/defer-len-result	defer,len,compile_error	-	-
PASS	defer/defer-non-call	defer,compile_error	-	-
PASS	defer/defer-receive-expression	defer,channels,compile_error	-	-
PASS	floats/defined-type-mixed-add	floats,typed,compile_error	-	-
PASS	floats/float-bitwise-and	floats,bitwise,compile_error	-	-
PASS	floats/float-modulo	floats,modulo,compile_error	-	-
PASS	floats/float-shift	floats,shifts,compile_error	-	-
PASS	floats/float-to-string	floats,strings,conversions,compile_error	-	-
PASS	floats/float32-constant-overflow	floats,constants,overflow,compile_error	-	-
PASS	floats/generic-float-bitwise	floats,generics,type_sets,bitwise,compile_error	-	-
PASS	floats/generic-float-modulo	floats,generics,type_sets,modulo,compile_error	-	-
PASS	floats/generic-float-shift	floats,generics,type_sets,shifts,compile_error	-	-
PASS	floats/generic-mixed-int-float-modulo	floats,ints,generics,type_sets,modulo,compile_error	-	-
PASS	floats/implicit-int-float	floats,conversions,compile_error	-	-
PASS	functions/array-func-compare	functions,arrays,comparability,compile_error	-	-
PASS	functions/call-nonfunction	functions,calls,compile_error	-	-
PASS	functions/duplicate-parameter	functions,compile_error	-	-
PASS	functions/func-compare	functions,comparability,compile_error	-	-
PASS	functions/struct-func-compare	functions,structs,comparability,compile_error	-	-
PASS	functions/wrong-arity	functions,calls,compile_error	-	-
PASS	generics/alias-method-receiver	generics,aliases,methods,compile_error	-	-
PASS	generics/alias-missing-instantiation	generics,aliases,compile_error	-	-
PASS	generics/alias-noncomparable-argument	generics,aliases,comparability,compile_error	-	-
PASS	generics/alias-wrong-arity	generics,aliases,compile_error	-	-
PASS	generics/bad-type-argument	generics,type_sets,constraints,compile_error	-	-
PASS	generics/compare-unconstrained	generics,comparability,compile_error	-	-
PASS	generics/composite-literal-mixed-underlying	generics,type_sets,literals,slices,compile_error	-	-
PASS	generics/empty-type-set	generics,type_sets,constraints,compile_error	-	-
PASS	generics/field-select-type-parameter	generics,fields,structs,compile_error	-	-
PASS	generics/generic-method	generics,methods,compile_error	-	-
PASS	generics/higher-order-inference-impossible	generics,inference,functions,compile_error	-	-
PASS	generics/inference-mismatch	generics,inference,compile_error	-	-
PASS	generics/instantiation-cycle	generics,recursion,compile_error	-	-
PASS	generics/map-key-unconstrained	generics,maps,keys,comparability,compile_error	-	-
PASS	generics/missing-method-constraint	generics,constraints,methods,compile_error	-	-
PASS	generics/noncomparable-constraint	generics,comparability,constraints,compile_error	-	-
PASS	generics/overlapping-type-terms	generics,type_sets,constraints,compile_error	-	-
PASS	generics/partial-instantiation-no-target	generics,inference,functions,compile_error	-	-
PASS	generics/recursive-comparable-noncomparable-type	generics,constraints,methods,comparability,compile_error	-	-
PASS	generics/recursive-constraint-method-mismatch	generics,constraints,methods,compile_error	-	-
PASS	generics/return-uninstantiated-generic-function	generics,inference,functions,returns,compile_error	-	-
PASS	generics/tilde-defined-type	generics,type_sets,constraints,typed,compile_error	-	-
PASS	generics/type-argument-count	generics,compile_error	-	-
PASS	generics/type-set-value	generics,type_sets,constraints,compile_error	-	-
PASS	generics/uninstantiated-function-value	generics,functions,compile_error	-	-
PASS	imports/package-mismatch	imports,compile_error	-	-
PASS	imports/unused-import	imports,unused,compile_error	-	-
PASS	init/call-init	init,calls,compile_error	-	-
PASS	init/duplicate-global	init,globals,compile_error	-	-
PASS	init/init-return-value	init,functions,returns,compile_error	-	-
PASS	init/init-with-params	init,functions,compile_error	-	-
PASS	init/initialization-cycle	init,globals,compile_error	-	-
PASS	interfaces/ambiguous-promoted-method-interface	interfaces,embedding,methods,compile_error	-	-
PASS	interfaces/duplicate-method	interfaces,methods,compile_error	-	-
PASS	interfaces/embedded-conflicting-method	interfaces,embedding,methods,compile_error	-	-
PASS	interfaces/error-method-params	interfaces,methods,compile_error	-	-
PASS	interfaces/error-nonstring-method	interfaces,methods,compile_error	-	-
PASS	interfaces/impossible-type-assertion	interfaces,type_assertions,compile_error	-	-
PASS	interfaces/interface-field	interfaces,fields,compile_error	-	-
PASS	interfaces/interface-method-type-params	interfaces,methods,generics,compile_error	-	-
PASS	interfaces/type-assert-non-interface	interfaces,type_assertions,compile_error	-	-
PASS	interfaces/type-switch-multi-binding-concrete	interfaces,type_switch,switch,compile_error	-	-
PASS	ints/implicit-defined-assign	ints,typed,assignment,compile_error	-	-
PASS	ints/int16-constant-overflow	ints,widths,overflow,compile_error	-	-
PASS	ints/int8-constant-overflow	ints,widths,overflow,compile_error	-	-
PASS	ints/mixed-defined-add	ints,typed,compile_error	-	-
PASS	ints/mixed-defined-compare	ints,typed,comparisons,compile_error	-	-
PASS	ints/mixed-signed-unsigned-bitwise	ints,widths,bitwise,compile_error	-	-
PASS	ints/shift-float-count	ints,shifts,compile_error	-	-
PASS	ints/uint16-constant-overflow	ints,widths,overflow,compile_error	-	-
PASS	ints/uint8-negative-constant	ints,widths,overflow,compile_error	-	-
PASS	maps/assign-wrong-value-type	maps,assignment,compile_error	-	-
PASS	maps/delete-non-map	maps,delete,compile_error	-	-
PASS	maps/delete-too-few-args	maps,delete,builtins,compile_error	-	-
PASS	maps/delete-too-many-args	maps,delete,builtins,compile_error	-	-
PASS	maps/delete-wrong-key-type	maps,delete,keys,compile_error	-	-
PASS	maps/duplicate-const-expression-key	maps,literals,keys,constants,compile_error	-	-
PASS	maps/duplicate-interface-constant-key	maps,literals,keys,interfaces,constants,compile_error	-	-
