result	id	features	stage	detail
FAIL	e5/probeConstStoreBeforePanic	order,assignment	differential	Lean={"schema":"golean-observation-v1","status":"ok","values":[{"kind":"uint64","tag":"int","value":58}]} Go={"schema":"golean-observation-v1","status":"ok","values":[{"kind":"uint64","tag":"int","value":29}]} left:  {"schema":"golean-observation-v1","status":"ok","values":[{"kind":"uint64","tag":"int","value":58}]}\nright: {"schema":"golean-observation-v1","status":"ok","values":[{"kind":"uint64","tag":"int","value":29}]}
FAIL	e5/probeVarStoreBeforePanic	order,assignment	differential	Lean={"schema":"golean-observation-v1","status":"ok","values":[{"kind":"uint64","tag":"int","value":58}]} Go={"schema":"golean-observation-v1","status":"ok","values":[{"kind":"uint64","tag":"int","value":29}]} left:  {"schema":"golean-observation-v1","status":"ok","values":[{"kind":"uint64","tag":"int","value":58}]}\nright: {"schema":"golean-observation-v1","status":"ok","values":[{"kind":"uint64","tag":"int","value":29}]}
PASS	e5/probePanicFirstThenConst	order,assignment	-	-
PASS	e5/probeConstStoreBeforeIndexPanic	order,assignment	-	-
FAIL	e5/probeTwoTargets	order,assignment	differential	Lean={"schema":"golean-observation-v1","status":"ok","values":[{"kind":"uint64","tag":"int","value":58}]} Go={"schema":"golean-observation-v1","status":"ok","values":[{"kind":"uint64","tag":"int","value":29}]} left:  {"schema":"golean-observation-v1","status":"ok","values":[{"kind":"uint64","tag":"int","value":58}]}\nright: {"schema":"golean-observation-v1","status":"ok","values":[{"kind":"uint64","tag":"int","value":29}]}
PASS	e5/probeControlSeparate	order,assignment	-	-
